"ExerciseId","Verdict","PreviousName","CurrentName","PreviousMetadata","CurrentMetadata","ActualFinalDemonstration","ExactCorrection","Reason","FullLoop","Crop","LoopSeam","PlaybackSpeed","Mirroring","Travel","HoldFrame","Equipment"
"47","PASS","Tandem-Stance Head Turns","Tandem-Stance Head Turns","name=Tandem-Stance Head Turns | demand=0 | primary=AnteriorLateralNeckAndHyoidMuscles | secondary=[PosteriorNeckAndSuboccipitalMuscles;DeepAndIntersegmentalBack;AnteriorLateralLowerLegAndDorsalFoot] | practice=Balance and vestibular training | motion=TandemHeadTurn | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenRightThenLeft | direction=None | blocks=[47:ScreenRight:None:False:Full;47:ScreenLeft:None:True:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","name=Tandem-Stance Head Turns | demand=0 | primary=AnteriorLateralNeckAndHyoidMuscles | secondary=[PosteriorNeckAndSuboccipitalMuscles;DeepAndIntersegmentalBack;AnteriorLateralLowerLegAndDorsalFoot] | practice=Balance and vestibular training | motion=TandemHeadTurn | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenRightThenLeft | direction=None | blocks=[47:ScreenRight:None:False:Full;47:ScreenLeft:None:True:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","The complete packaged loop demonstrates Tandem-Stance Head Turns as named.","None.","Full-loop review found the name, demand, anatomy, structure, and packaged media coherent.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"56","PASS","Shibashi Shallow Squat with Arm Float","Shibashi Shallow Squat with Arm Float","name=Shibashi Shallow Squat with Arm Float | demand=1 | primary=LateralKneeExtensors | secondary=[MedialAndDeepKneeExtensors;AbdominalWall;ShoulderAbductors] | practice=Taiji Qigong Shibashi | motion=SquatArmRaise | mode=Repetition | presentation=Motion | holdFrame=0 | side=Continuous | direction=None | blocks=[56:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","name=Shibashi Shallow Squat with Arm Float | demand=1 | primary=LateralKneeExtensors | secondary=[MedialAndDeepKneeExtensors;AbdominalWall;ShoulderAbductors] | practice=Taiji Qigong Shibashi | motion=SquatArmRaise | mode=Repetition | presentation=Motion | holdFrame=0 | side=Continuous | direction=None | blocks=[56:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","The complete packaged loop demonstrates Shibashi Shallow Squat with Arm Float as named.","None.","Full-loop review found the name, demand, anatomy, structure, and packaged media coherent.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"58","CORRECTED","Bhangra Chaal","Bhangra Chaal","name=Bhangra Chaal | demand=1 | primary=AnteriorLateralLowerLegAndDorsalFoot | secondary=[HipFlexors;MedialAndDeepKneeExtensors;LateralKneeExtensors;CalfDeepPosteriorLegAndPlantarFoot;ShoulderAbductors] | practice=Bhangra | motion=WalkingStep | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenLeftThenRight | direction=None | blocks=[58:ScreenLeft:None:False:Full;58:ScreenRight:None:True:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","name=Bhangra Chaal | demand=1 | primary=AnteriorLateralLowerLegAndDorsalFoot | secondary=[HipFlexors;MedialAndDeepKneeExtensors;LateralKneeExtensors;CalfDeepPosteriorLegAndPlantarFoot;ShoulderAbductors;PelvicFloorAndPerineum] | practice=Bhangra | motion=WalkingStep | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenLeftThenRight | direction=None | blocks=[58:ScreenLeft:None:False:Full;58:ScreenRight:None:True:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","The complete packaged loop demonstrates Bhangra Chaal as named.","secondaryCanonicalGroups: [""HipFlexors"",""MedialAndDeepKneeExtensors"",""LateralKneeExtensors"",""CalfDeepPosteriorLegAndPlantarFoot"",""ShoulderAbductors""] => [""HipFlexors"",""MedialAndDeepKneeExtensors"",""LateralKneeExtensors"",""CalfDeepPosteriorLegAndPlantarFoot"",""ShoulderAbductors"",""PelvicFloorAndPerineum""]","Associations were trimmed to meaningful visible mechanics; pelvic-floor involvement is retained only as evidence-supported secondary work for gait, single-leg support, or impact.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"59","PASS","Shibashi Side Shift with Rainbow Reach","Shibashi Side Shift with Rainbow Reach","name=Shibashi Side Shift with Rainbow Reach | demand=0 | primary=DeepAndIntersegmentalBack | secondary=[ShoulderAbductors;HipAbductors;AccessoryHipAdductors;AbdominalWall] | practice=Taiji Qigong Shibashi | motion=SideReach | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[59:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","name=Shibashi Side Shift with Rainbow Reach | demand=0 | primary=DeepAndIntersegmentalBack | secondary=[ShoulderAbductors;HipAbductors;AccessoryHipAdductors;AbdominalWall] | practice=Taiji Qigong Shibashi | motion=SideReach | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[59:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","The complete packaged loop demonstrates Shibashi Side Shift with Rainbow Reach as named.","None.","Full-loop review found the name, demand, anatomy, structure, and packaged media coherent.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"60","PASS","Low-Impact Skater Step","Low-Impact Skater Step","name=Low-Impact Skater Step | demand=1 | primary=HipAbductors | secondary=[GlutealExtensors;PosteriorThighAndKneeFlexors;LateralKneeExtensors;CalfDeepPosteriorLegAndPlantarFoot;AnteriorLateralLowerLegAndDorsalFoot] | practice=Low-impact aerobics | motion=WalkingStep | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[60:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","name=Low-Impact Skater Step | demand=1 | primary=HipAbductors | secondary=[GlutealExtensors;PosteriorThighAndKneeFlexors;LateralKneeExtensors;CalfDeepPosteriorLegAndPlantarFoot;AnteriorLateralLowerLegAndDorsalFoot] | practice=Low-impact aerobics | motion=WalkingStep | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[60:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","The complete packaged loop demonstrates Low-Impact Skater Step as named.","None.","Full-loop review found the name, demand, anatomy, structure, and packaged media coherent.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"92","CORRECTED","Capoeira Ginga","Capoeira Ginga","name=Capoeira Ginga | demand=1 | primary=GlutealExtensors | secondary=[MedialAndDeepKneeExtensors;LateralKneeExtensors;HipAbductors] | practice=Capoeira | motion=WalkingStep | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[92:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","name=Capoeira Ginga | demand=1 | primary=GlutealExtensors | secondary=[MedialAndDeepKneeExtensors;LateralKneeExtensors;HipAbductors;PelvicFloorAndPerineum] | practice=Capoeira | motion=WalkingStep | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[92:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","The complete packaged loop demonstrates Capoeira Ginga as named.","secondaryCanonicalGroups: [""MedialAndDeepKneeExtensors"",""LateralKneeExtensors"",""HipAbductors""] => [""MedialAndDeepKneeExtensors"",""LateralKneeExtensors"",""HipAbductors"",""PelvicFloorAndPerineum""]","Associations were trimmed to meaningful visible mechanics; pelvic-floor involvement is retained only as evidence-supported secondary work for gait, single-leg support, or impact.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"93","PASS","Capoeira Esquiva Lateral","Capoeira Esquiva Lateral","name=Capoeira Esquiva Lateral | demand=2 | primary=LateralKneeExtensors | secondary=[GlutealExtensors;HipAbductors;MajorHipAdductors] | practice=Capoeira | motion=WalkingStep | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[93:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","name=Capoeira Esquiva Lateral | demand=2 | primary=LateralKneeExtensors | secondary=[GlutealExtensors;HipAbductors;MajorHipAdductors] | practice=Capoeira | motion=WalkingStep | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[93:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","The complete packaged loop demonstrates Capoeira Esquiva Lateral as named.","None.","Full-loop review found the name, demand, anatomy, structure, and packaged media coherent.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"94","PASS","Lateral Weight Shift","Lateral Weight Shift","name=Lateral Weight Shift | demand=0 | primary=HipAbductors | secondary=[GlutealExtensors;MajorHipAdductors;AccessoryHipAdductors;CalfDeepPosteriorLegAndPlantarFoot;Soleus;AbdominalWall] | practice=Standing balance training | motion=LateralWeightShift | mode=Repetition | presentation=Motion | holdFrame=0 | side=Continuous | direction=None | blocks=[94:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","name=Lateral Weight Shift | demand=0 | primary=HipAbductors | secondary=[GlutealExtensors;MajorHipAdductors;AccessoryHipAdductors;CalfDeepPosteriorLegAndPlantarFoot;Soleus;AbdominalWall] | practice=Standing balance training | motion=LateralWeightShift | mode=Repetition | presentation=Motion | holdFrame=0 | side=Continuous | direction=None | blocks=[94:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","The complete packaged loop demonstrates Lateral Weight Shift as named.","None.","Full-loop review found the name, demand, anatomy, structure, and packaged media coherent.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"95","CORRECTED","Single-Leg Pelvic Control","Single-Leg Knee-Raise Hold","name=Single-Leg Pelvic Control | demand=1 | primary=HipAbductors | secondary=[GlutealExtensors;DeepHipRotators;HipFlexors;AbdominalWall;CalfDeepPosteriorLegAndPlantarFoot;Soleus] | practice=Single-leg balance training | motion=SingleLegPelvicControl | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenLeftThenRight | direction=None | blocks=[95:ScreenLeft:None:False:Full;95:ScreenRight:None:True:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","name=Single-Leg Knee-Raise Hold | demand=1 | primary=HipFlexors | secondary=[AbdominalWall;CalfDeepPosteriorLegAndPlantarFoot;Soleus] | practice=Standing balance isometrics | motion=KneeRaiseHold | mode=Hold | presentation=Still | holdFrame=60 | side=ScreenLeftThenRight | direction=None | blocks=[95:ScreenLeft:None:False:Full;95:ScreenRight:None:True:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","A planted single-leg balance with one knee raised and held; the pelvis is not visibly moved through repetitions.","holdFramePercent: 0 => 60 | insectCompatibility: Compatible => Incompatible | mode: Repetition => Hold | motionProfile: SingleLegPelvicControl => KneeRaiseHold | name: Single-Leg Pelvic Control => Single-Leg Knee-Raise Hold | practice: Single-leg balance training => Standing balance isometrics | presentation: Motion => Still | primaryCanonicalGroup: HipAbductors => HipFlexors | secondaryCanonicalGroups: [""GlutealExtensors"",""DeepHipRotators"",""HipFlexors"",""AbdominalWall"",""CalfDeepPosteriorLegAndPlantarFoot"",""Soleus""] => [""AbdominalWall"",""CalfDeepPosteriorLegAndPlantarFoot"",""Soleus""]","The loop shows an isometric knee-raised balance, not repeated pelvic control; mode, still frame, anatomy, sound, and name now follow the visible hold.","PASS","PASS","PASS","PASS","PASS","PASS","PASS: corrected still endpoint at 60%","PASS"
"96","PASS","Dynamic Figure-Four Squat Balance","Dynamic Figure-Four Squat Balance","name=Dynamic Figure-Four Squat Balance | demand=2 | primary=DeepHipRotators | secondary=[GlutealExtensors;HipAbductors;MedialAndDeepKneeExtensors;LateralKneeExtensors;CalfDeepPosteriorLegAndPlantarFoot] | practice=Balance training | motion=HipOpenClose | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenLeftThenRight | direction=None | blocks=[96:ScreenLeft:None:False:Full;96:ScreenRight:None:True:Full;540:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","name=Dynamic Figure-Four Squat Balance | demand=2 | primary=DeepHipRotators | secondary=[GlutealExtensors;HipAbductors;MedialAndDeepKneeExtensors;LateralKneeExtensors;CalfDeepPosteriorLegAndPlantarFoot] | practice=Balance training | motion=HipOpenClose | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenLeftThenRight | direction=None | blocks=[96:ScreenLeft:None:False:Full;96:ScreenRight:None:True:Full;540:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","The complete packaged loop demonstrates Dynamic Figure-Four Squat Balance as named.","None.","Full-loop review found the name, demand, anatomy, structure, and packaged media coherent.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"97","PASS","Standing Side-Kick Reach","Standing Side-Kick Reach","name=Standing Side-Kick Reach | demand=1 | primary=AnteriorLateralLowerLegAndDorsalFoot | secondary=[CalfDeepPosteriorLegAndPlantarFoot;Soleus] | practice=Balance training | motion=SideKickReach | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenRightThenLeft | direction=None | blocks=[97:ScreenRight:None:False:Full;97:ScreenLeft:None:True:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","name=Standing Side-Kick Reach | demand=1 | primary=AnteriorLateralLowerLegAndDorsalFoot | secondary=[CalfDeepPosteriorLegAndPlantarFoot;Soleus] | practice=Balance training | motion=SideKickReach | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenRightThenLeft | direction=None | blocks=[97:ScreenRight:None:False:Full;97:ScreenLeft:None:True:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","The complete packaged loop demonstrates Standing Side-Kick Reach as named.","None.","Full-loop review found the name, demand, anatomy, structure, and packaged media coherent.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"98","PASS","Shibashi Side Shift with Overhead Scoop","Shibashi Side Shift with Overhead Scoop","name=Shibashi Side Shift with Overhead Scoop | demand=0 | primary=ShoulderAbductors | secondary=[ScapularGirdle;HipAbductors;AccessoryHipAdductors;AbdominalWall] | practice=Taiji Qigong Shibashi | motion=OverheadScoop | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[98:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","name=Shibashi Side Shift with Overhead Scoop | demand=0 | primary=ShoulderAbductors | secondary=[ScapularGirdle;HipAbductors;AccessoryHipAdductors;AbdominalWall] | practice=Taiji Qigong Shibashi | motion=OverheadScoop | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[98:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","The complete packaged loop demonstrates Shibashi Side Shift with Overhead Scoop as named.","None.","Full-loop review found the name, demand, anatomy, structure, and packaged media coherent.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
